Rendimiento Potencial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario: Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TON per HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch,Agricola_ZR02_P01\Cultivos Anuales\Cereales,Agricola_ZR02_P01\Cultivos Anuales\Forrajeras,Agricola_ZR02_P01\Cultivos Anuales\Hortalizas,Agricola_ZR02_P01\Cultivos Anuales\LeguminosasTuberculos,Agricola_ZR02_P01\Frutales\Caducifolios\Goteo,Agricola_ZR02_P01\Frutales\Caducifolios\Microaspersion,Agricola_ZR02_P01\Frutales\Citricos,Agricola_ZR02_P01\Frutales\Paltos\Goteo,Agricola_ZR02_P01\Frutales\Paltos\Microaspersion,Agricola_ZR05_L01\Cultivos Anuales\Cereales,Agricola_ZR05_L01\Cultivos Anuales\Forrajeras,Agricola_ZR05_L01\Cultivos Anuales\Hortalizas,Agricola_ZR05_L01\Cultivos Anuales\LeguminosasTuberculos,Agricola_ZR05_L01\Frutales\Caducifolios\Goteo,Agricola_ZR05_L01\Frutales\Caducifolios\Microaspersion,Agricola_ZR05_L01\Frutales\Citricos,Agricola_ZR05_L01\Frutales\Paltos\Goteo,Agricola_ZR05_L01\Frutales\Paltos\Microaspersion,Agricola_ZR05_P02\Cultivos Anuales\Cereales,Agricola_ZR05_P02\Cultivos Anuales\Forrajeras,Agricola_ZR05_P02\Cultivos Anuales\Hortalizas,Agricola_ZR05_P02\Cultivos Anuales\LeguminosasTuberculos,Agricola_ZR05_P02\Frutales\Caducifolios\Goteo,Agricola_ZR05_P02\Frutales\Caducifolios\Microaspersion,Agricola_ZR05_P02\Frutales\Citricos,Agricola_ZR05_P02\Frutales\Paltos\Goteo,Agricola_ZR05_P02\Frutales\Paltos\Microaspersion,Agricola_ZR06_L02\Cultivos Anuales\Cereales,Agricola_ZR06_L02\Cultivos Anuales\Forrajeras,Agricola_ZR06_L02\Cultivos Anuales\Hortalizas,Agricola_ZR06_L02\Cultivos Anuales\LeguminosasTuberculos,Agricola_ZR06_L02\Frutales\Caducifolios\Goteo,Agricola_ZR06_L02\Frutales\Caducifolios\Microaspersion,Agricola_ZR06_L02\Frutales\Citricos,Agricola_ZR06_L02\Frutales\Paltos\Goteo,Agricola_ZR06_L02\Frutales\Paltos\Microaspersion,Agricola_ZR06_P03\Cultivos Anuales\Cereales,Agricola_ZR06_P03\Cultivos Anuales\Forrajeras,Agricola_ZR06_P03\Cultivos Anuales\Hortalizas,Agricola_ZR06_P03\Cultivos Anuales\LeguminosasTuberculos,Agricola_ZR06_P03\Frutales\Caducifolios\Goteo,Agricola_ZR06_P03\Frutales\Caducifolios\Microaspersion,Agricola_ZR06_P03\Frutales\Citricos,Agricola_ZR06_P03\Frutales\Paltos\Goteo,Agricola_ZR06_P03\Frutales\Paltos\Microaspersion,Agricola_ZR07_L05\Cultivos Anuales\Cereales,Agricola_ZR07_L05\Cultivos Anuales\Forrajeras,Agricola_ZR07_L05\Cultivos Anuales\Hortalizas,Agricola_ZR07_L05\Cultivos Anuales\LeguminosasTuberculos,Agricola_ZR07_L05\Frutales\Caducifolios\Goteo,Agricola_ZR07_L05\Frutales\Caducifolios\Microaspersion,Agricola_ZR07_L05\Frutales\Citricos,Agricola_ZR07_L05\Frutales\Paltos\Goteo,Agricola_ZR07_L05\Frutales\Paltos\Microaspersion,Agricola_ZR07_P07\Cultivos Anuales\Cereales,Agricola_ZR07_P07\Cultivos Anuales\Forrajeras,Agricola_ZR07_P07\Cultivos Anuales\Hortalizas,Agricola_ZR07_P07\Cultivos Anuales\LeguminosasTuberculos,Agricola_ZR07_P07\Frutales\Caducifolios\Goteo,Agricola_ZR07_P07\Frutales\Caducifolios\Microaspersion,Agricola_ZR07_P07\Frutales\Citricos,Agricola_ZR07_P07\Frutales\Paltos\Goteo,Agricola_ZR07_P07\Frutales\Paltos\Microaspersion,Agricola_ZR08_L06\Cultivos Anuales\Cereales,Agricola_ZR08_L06\Cultivos Anuales\Forrajeras,Agricola_ZR08_L06\Cultivos Anuales\Hortalizas,Agricola_ZR08_L06\Cultivos Anuales\LeguminosasTuberculos,Agricola_ZR08_L06\Frutales\Caducifolios\Goteo,Agricola_ZR08_L06\Frutales\Caducifolios\Microaspersion,Agricola_ZR08_L06\Frutales\Citricos,Agricola_ZR08_L06\Frutales\Paltos\Goteo,Agricola_ZR08_L06\Frutales\Paltos\Microaspersion,Agricola_ZR08_P08\Cultivos Anuales\Cereales,Agricola_ZR08_P08\Cultivos Anuales\Forrajeras,Agricola_ZR08_P08\Cultivos Anuales\Hortalizas,Agricola_ZR08_P08\Cultivos Anuales\LeguminosasTuberculos,Agricola_ZR08_P08\Frutales\Caducifolios\Goteo,Agricola_ZR08_P08\Frutales\Caducifolios\Microaspersion,Agricola_ZR08_P08\Frutales\Citricos,Agricola_ZR08_P08\Frutales\Paltos\Goteo,Agricola_ZR08_P08\Frutales\Paltos\Microaspersion,Agricola_ZR09_L09\Cultivos Anuales\Cereales,Agricola_ZR09_L09\Cultivos Anuales\Forrajeras,Agricola_ZR09_L09\Cultivos Anuales\Hortalizas,Agricola_ZR09_L09\Cultivos Anuales\LeguminosasTuberculos,Agricola_ZR09_L09\Frutales\Caducifolios\Goteo,Agricola_ZR09_L09\Frutales\Caducifolios\Microaspersion,Agricola_ZR09_L09\Frutales\Citricos,Agricola_ZR09_L09\Frutales\Paltos\Goteo,Agricola_ZR09_L09\Frutales\Paltos\Microaspersion,Agricola_ZR10_L10_L12\Cultivos Anuales\Cereales,Agricola_ZR10_L10_L12\Cultivos Anuales\Forrajeras,Agricola_ZR10_L10_L12\Cultivos Anuales\Hortalizas,Agricola_ZR10_L10_L12\Cultivos Anuales\LeguminosasTuberculos,Agricola_ZR10_L10_L12\Frutales\Caducifolios\Goteo,Agricola_ZR10_L10_L12\Frutales\Caducifolios\Microaspersion,Agricola_ZR10_L10_L12\Frutales\Citricos,Agricola_ZR10_L10_L12\Frutales\Paltos\Goteo,Agricola_ZR10_L10_L12\Frutales\Paltos\Microaspersion
2025,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10
2026,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10
2027,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10
2028,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10
2029,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10
2030,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10
2031,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10
2032,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10
2033,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10
2034,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10
2035,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10
2036,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10
2037,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10,12.42,17.4,7.2,60,3.6,3.6,42,10,10
